Year,Host Country,Winner,Runners-Up,Third,Fourth,GoalsScored,QualifiedTeams,MatchesPlayed,Top Scorer,Best player,Goals,Attendance
1930,Uruguay,Uruguay,Argentina,USA,Yugoslavia,70,13,18,Guillermo Stábile ,José Nasazzi,8,590549
1934,Italy,Italy,Czechoslovakia,Germany,Austria,70,16,17,Oldrich Nejedlý ,Giuseppe Meazza,5,363000
1938,France,Italy,Hungary,Brazil,Sweden,84,15,18,Leônidas ,Leônidas,7,375700
1950,Brazil,Uruguay,Brazil,Sweden,Spain,88,13,22,Ademir,Zizinho,8,1045246
1954,Switzerland,Germany,Hungary,Austria,Uruguay,140,16,26,Sándor Kocsis,Ferenc Puskas,11,768607
1958,Sweden,Brazil,Sweden,France,Germany,126,16,35,Just Fontaine ,Didi,13,819810
1962,Chile,Brazil,Czechoslovakia,Chile,Yugoslavia,89,16,32,Garrincha ,Garrincha,4,893172
1966,England,England,Germany,Portugal,Soviet Union,89,16,32,Eusébio ,Bobby Charlton,9,1563135
1970,Mexico,Brazil,Italy,Germany,Uruguay,95,16,32,Gerd Müller ,Pelé,10,1603975
1974,Germany,Germany,Netherlands,Poland,Brazil,97,16,38,Grzegorz Lato ,Johan Cruyff,7,1865753
1978,Argentina,Argentina,Netherlands,Brazil,Italy,102,16,38,Mario Kempes ,Mario Kempes,6,1545791
1982,Spain,Italy,Germany,Poland,France,146,24,52,Paolo Rossi,Paolo Rossi,6,2109723
1986,Mexico,Argentina,Germany,France,Belgium,132,24,52,Diego Maradona,Diego Maradona,6,2394031
1990,Italy,Germany,Argentina,Italy,England,115,24,52,Salvatore Schillaci,Salvatore Schillaci,6,2516215
1994,USA,Brazil,Italy,Sweden,Bulgaria,141,24,52,Hristo Stoichkov ,Romário,6,3587538
1998,France,France,Brazil,Croatia,Netherlands,171,32,64,Davor Šuker,Ronaldo,6,2785100
2002,Korea/Japan,Brazil,Germany,Turkey,Korea Republic,161,32,64,Ronaldo,Oliver Kahn,8,2705197
2006,Germany,Italy,France,Germany,Portugal,147,32,64,Miroslav Klose,Zinedine Zidane,5,3359439
2010,South Africa,Spain,Netherlands,Germany,Uruguay,145,32,64,Thomas Müller,Diego Forlán,5,3178856
2014,Brazil,Germany,Argentina,Netherlands,Brazil,171,32,64,James Rodríguez,Lionel Messi,6,3429873
2018,Russia,France,Croatia,Belgium,England,169,32,64,Harry Kane,Luka Modric,5,3031768
2022,Qatar,Argentina,France,Croatia,Morocco,172,32,64,Kylian Mbappé,Lionel Messi,8,3404252
